变量,P1(处理前),P99(处理前),Min(处理后),Max(处理后)
Lev,0.05459754486512919,0.8449289361276514,0.032090484702523674,0.8957161704128838
NPR,-0.186577615255222,0.19166075620839598,-0.3392406226286897,0.22008882091941598
Tang,0.0027716021190190825,0.669399218462119,0.002428959414539141,0.734078881343343
Growth,-0.2366814754776439,1.5636759302204744,-0.3099814369727316,3.7558983761909226
NDTS,0.00141123034994511,0.07775352910650071,0.0007884336459548747,0.09232351039003933
Liq,0.3782024409145569,15.845975008703476,0.29140583284131744,26.264185509721404
