,Lev,NPR,Size,Tang,Growth,NDTS,SOE
Lev,1.0,-0.32306593544309703,0.5149711807169006,0.08019323223061645,0.023821569106461146,0.05599331326404659,0.28345128017549087
NPR,-0.32306593544309703,1.0,0.006888318088953426,-0.03742154817515882,0.25222915875537416,-0.12085050698095724,-0.05972065632929549
Size,0.5149711807169006,0.006888318088953426,1.0,0.1107464279419795,0.018658392465186708,0.05095806099943034,0.3982768329667254
Tang,0.08019323223061645,-0.03742154817515882,0.1107464279419795,1.0,-0.0942394635549805,0.6675531462182074,0.14493404714077607
Growth,0.023821569106461146,0.25222915875537416,0.018658392465186708,-0.0942394635549805,1.0,-0.16049783046121857,-0.08378115768215634
NDTS,0.05599331326404659,-0.12085050698095724,0.05095806099943034,0.6675531462182074,-0.16049783046121857,1.0,0.047043022399623574
SOE,0.28345128017549087,-0.05972065632929549,0.3982768329667254,0.14493404714077607,-0.08378115768215634,0.047043022399623574,1.0
