Variable,Mean(SOE),Mean(Non-SOE),Diff(SOE-NonSOE),t_stat,p_value,Signif,Diff_with_stars
Lev,0.4814210818310424,0.363986848298094,0.11743423353294835,56.14629931679987,0.0,***,0.1174***
NPR,0.033001369734419084,0.04036780803853115,-0.007366438304112065,-12.632144481793413,1.7269784283638048e-36,***,-0.0074***
Size,23.040984206432256,21.906227862498746,1.1347563439335104,75.65163965152162,0.0,***,1.1348***
Tang,0.23630605355669063,0.18976201847943733,0.0465440350772533,25.100573459511782,9.852142859377443e-137,***,0.0465***
Growth,0.1083139278355122,0.1581728456425162,-0.04985891780700401,-17.445972390675326,8.05747196731787e-68,***,-0.0499***
NDTS,0.02618374761104156,0.024623244455253296,0.0015605031557882655,8.740664792250717,2.4790596161426806e-18,***,0.0016***
