Coefficient,coef,std_err,t_value,p_value,stars
npr,-0.618473838598155,0.054205883775621536,-11.409717829862343,1.7821978559595664e-08,***
size,0.08091520347917157,0.004323369656520511,18.715772628217245,2.6388002893895646e-11,***
tang,0.07964289784272309,0.01882052651641695,4.231704026624941,0.0008373490758131208,***
growth,0.03203413802704443,0.01082308003531295,2.9597986823090294,0.010343298250771182,**
ndts,0.5629641622902796,0.17757182630294654,3.1703461861671354,0.0068105232304640495,***
