gamma,ssr,nobs,r2_within,beta_low,beta_high,se_low,se_high,t_low,t_high,p_low,p_high,delta_ssr
21.498806730611594,51.290866315742676,7590,0.09545818535200445,-0.9006224276548406,-0.7133521123996442,0.11706356875829507,0.0721832196462077,-7.69344756193436,-9.882520008057325,1.6209256159527285e-14,0.0,0.28263660645416877
21.60500859624183,51.318177287080914,7590,0.09539617565863046,-0.8635009613247769,-0.715476514422944,0.10823019911041397,0.07262430054038253,-7.978373581701102,-9.851750847846105,1.7763568394002505e-15,0.0,0.309947577792407
21.700021567443564,51.31761084264629,7590,0.09529154999088851,-0.8557690076045584,-0.7120767430943399,0.10648261976169832,0.0736480786856875,-8.03670129002947,-9.668639777193839,1.1102230246251565e-15,0.0,0.30938113335778183
21.785974387159385,51.309076297252645,7590,0.09523470949037405,-0.855901103651902,-0.7065972410119015,0.10381203359283048,0.07446991091313629,-8.244719557357874,-9.488358886800544,2.220446049250313e-16,0.0,0.30084658796413777
21.881747012587752,51.301199023936476,7590,0.0952090714675774,-0.8550195164696061,-0.7006109171626874,0.10076089908750611,0.07461719730566199,-8.48562809792975,-9.38940274441968,0.0,0.0,0.29296931464796927
21.977297027932185,51.33328087396025,7590,0.09498221170469512,-0.8290339155569939,-0.7107165652819039,0.08947827147968329,0.07637246923290977,-9.26519815199193,-9.30592623782351,0.0,0.0,0.32505116467174133
22.065928658526875,51.373694000579974,7590,0.09519128037392854,-0.7845476318867586,-0.735016905667406,0.08557876412119958,0.07689316548731809,-9.16755038406088,-9.558936753470393,0.0,0.0,0.36546429129146674
22.13841767164902,51.37014618408914,7590,0.09509060829900196,-0.7882931330752957,-0.7304128094645408,0.0844273793030313,0.07838810720354596,-9.336937135593319,-9.317903385113246,0.0,0.0,0.36191647480062983
22.22222541441526,51.36767784120265,7590,0.0950354432046171,-0.7892609778959172,-0.7266644421107533,0.08471095964723499,0.0779070358744759,-9.317105852450098,-9.32732755076907,0.0,0.0,0.35944813191414227
22.308538281924765,51.38197821087485,7590,0.09543916874213798,-0.7614446303470759,-0.74886024998293,0.08868335254667314,0.07663123455178558,-8.586105604728186,-9.772258718823952,0.0,0.0,0.3737485015863413
22.38401758304318,51.38257808300865,7590,0.0956233938515636,-0.754047464726862,-0.7558444327832035,0.08410836855020087,0.07647034104724461,-8.965189525425187,-9.884151455741915,0.0,0.0,0.37434837372014584
22.466867929798727,51.382590317285434,7590,0.09559133437829781,-0.7550775233417112,-0.7547643632129466,0.08156417601717955,0.0793652045202117,-9.257465228149576,-9.510015979619041,0.0,0.0,0.37436060799692683
22.554400228173016,51.38232140603615,7590,0.0957301342240342,-0.7512491674525643,-0.7595570022699315,0.08013350678975646,0.08253403448313733,-9.3749693174366,-9.202954963083961,0.0,0.0,0.37409169674764087
22.635004690656285,51.37987620143774,7590,0.09599703693437833,-0.7435575039345449,-0.7701695187807766,0.0805990688789618,0.08175764219944008,-9.225385780215017,-9.420153248818263,0.0,0.0,0.37164649214923173
22.73013678646827,51.37190357946373,7590,0.09645069012442298,-0.7330686517809097,-0.7862187796958888,0.07997614806793892,0.08144361039026919,-9.166091009511678,-9.653535445302724,0.0,0.0,0.36367387017522645
22.821447353040902,51.30981792382758,7590,0.0984318072416086,-0.7017902528371459,-0.8422776409935403,0.0769094243394015,0.0844283159466288,-9.124892805596147,-9.976245902215846,0.0,0.0,0.30158821453907336
22.91075939206351,51.282696876466304,7590,0.09912478812640424,-0.6959808976647541,-0.8627117850633966,0.07773232747666922,0.08278017927709058,-8.953557937315688,-10.421719215847991,0.0,0.0,0.2744671671777965
22.99484995719379,51.23903976358348,7590,0.09985273546485962,-0.6877895008439534,-0.8902034121614286,0.07508156726192149,0.09137586564513965,-9.160563982962755,-9.742215910911911,0.0,0.0,0.23081005429497026
23.084085696690728,51.18266532003513,7590,0.10149079577578912,-0.6784941101112101,-0.920470964759473,0.07446823505819868,0.09463897967450101,-9.111188274852372,-9.72612942283738,0.0,0.0,0.17443561074662028
23.1700292253484,51.07286437756203,7590,0.10352382492230294,-0.667106766963836,-0.974518703952209,0.07304255600236549,0.09882622137938869,-9.13312462589934,-9.860932557677001,0.0,0.0,0.06463466827351994
23.271779746941917,51.067889381480036,7590,0.10344630214729966,-0.6702716901055992,-0.9896192462035704,0.07413045969006431,0.09978352489899595,-9.041785156978266,-9.917661730283577,0.0,0.0,0.05965967219152901
23.359552002149535,51.00822970928851,7590,0.10433840276955098,-0.6661226885298979,-1.028443577305312,0.07546519100193484,0.09709569096955589,-8.826886670343407,-10.592061985817454,0.0,0.0,0.0
23.459901417465627,51.05319484455115,7590,0.10260254520549617,-0.6768813970787991,-1.0270276317890878,0.07363651672018647,0.10265482193530255,-9.192197393731977,-10.00467014044761,0.0,0.0,0.04496513526264323
23.551536172590993,51.12466319329059,7590,0.10118820446789412,-0.688831006665457,-1.0049899564115587,0.07311055347047762,0.10802271367869964,-9.421772561790414,-9.303505921919148,0.0,0.0,0.11643348400207998
23.667108108415903,51.151388134769704,7590,0.10050095494182498,-0.6980946186858068,-1.0085543753297326,0.07237785337157156,0.11402091710924031,-9.645141243716454,-8.845345230502438,0.0,0.0,0.14315842548119662
23.77595249316741,51.1735802407575,7590,0.10005011966916189,-0.7028635460604024,-1.0064342025661404,0.07316601349505007,0.11591300034236207,-9.606421239664144,-8.682668894718658,0.0,0.0,0.16535053146899514
23.886262098722977,51.13880825623267,7590,0.10027548479985904,-0.7019942639586803,-1.0385310626270774,0.07325363385217257,0.11833388236410637,-9.58306403441118,-8.776278119833664,0.0,0.0,0.1305785469441645
24.020147193837143,51.18240554200236,7590,0.09938323256419235,-0.7084429352798665,-1.022435183805011,0.0750846708892935,0.1116871430294555,-9.435253919197573,-9.15445731775377,0.0,0.0,0.17417583271384984
24.1731129894745,51.131087133078815,7590,0.10032220135209835,-0.7049033414047373,-1.0727495193502816,0.07582677223833297,0.11434190654853903,-9.296232987329839,-9.381945357845604,0.0,0.0,0.12285742379030751
24.31898830142327,51.11906279698427,7590,0.09968093889308405,-0.705841963231361,-1.10684723373075,0.07644144255958217,0.12153186779079786,-9.233760373912272,-9.107465011860521,0.0,0.0,0.1108330876957595
24.502564340393057,51.250918287496916,7590,0.09651700631188964,-0.723619885867171,-1.037345634121565,0.0766020562143095,0.11938393117982656,-9.446481225552226,-8.6891562697749,0.0,0.0,0.2426885782084085
